ItemID,Sentiment,SentimentText,text_clean,polarity,subjectivity,sentiment_label,compound,negative,positive,neutral
1,0,                     is so sad for my APL friend.............,friend,0.0,0.0,Neutral,0.4939,0.0,1.0,0.0
2,0,                   I missed the New Moon trailer...,missed Moon trailer,0.0,0.0,Neutral,-0.296,0.524,0.0,0.476
3,1,              omg its already 7:30 :O,already,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
4,0,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,Omgaga sooo gunna been this dentist since suposed just crown 30mins,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
5,0,         i think mi bf is cheating on me!!!       T_T,think cheating,0.0,0.0,Neutral,-0.5574,0.783,0.0,0.217
6,0,         or i just worry too much?        ,just worry much,0.2,0.2,Positive,-0.4404,0.592,0.0,0.408
7,1,       Juuuuuuuuuuuuuuuuussssst Chillin!!,Juuuuuuuuuuuuuuuuussssst Chillin,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
8,0,       Sunny Again        Work Tomorrow  :-|       TV Tonight,Sunny Again Work Tomorrow Tonight,0.0,0.0,Neutral,0.4215,0.0,0.412,0.588
9,1,      handed in my uniform today . i miss you already,handed uniform today miss already,0.0,0.0,Neutral,-0.1531,0.286,0.0,0.714
10,1,      hmmmm.... i wonder how she my number @-),hmmmm wonder number,0.0,0.0,Neutral,0.0772,0.0,0.394,0.606
11,0,      I must think about positive..,must think about positive,0.22727272727272727,0.5454545454545454,Positive,0.5574,0.0,0.545,0.455
12,1,      thanks to all the haters up in my face all day! 112-102,thanks haters face 112102,0.2,0.2,Positive,-0.0772,0.395,0.358,0.247
13,0,      this weekend has sucked so far,this weekend sucked,0.0,0.0,Neutral,-0.4588,0.6,0.0,0.4
14,0,     jb isnt showing in australia any more!,isnt showing australia more,0.5,0.5,Positive,0.0,0.0,0.0,1.0
15,0,     ok thats it you win.,thats,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
16,0,    &lt;-------- This is the way i feel right now...,This feel right,0.2857142857142857,0.5357142857142857,Positive,0.0,0.0,0.0,1.0
17,0,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX",awhhe completely useless Funny twitter http mylocme 27HX,-0.125,0.6,Negative,0.022,0.252,0.259,0.489
18,1,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate,Feeling strangely fine gonna listen some Semisonic celebrate,0.4166666666666667,0.5,Positive,0.5859,0.167,0.53,0.303
19,0,    HUGE roll of thunder just now...SO scary!!!!,HUGE roll thunder just nowSO scary,-0.04999999999999996,0.95,Negative,-0.0431,0.313,0.296,0.391
20,0,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.,just beard only been growing well over year gonna start over shaunamanu happy meantime,0.4,1.0,Positive,0.7579,0.0,0.405,0.595
21,0,    Very sad about Iran.,Very about Iran,0.2,0.3,Positive,0.0,0.0,0.0,1.0
